id	cage_id	collection_timestamp	description	experimental_group	host_age	sex	strain_genotype	strain_vendor	treatment	faith_pd	shannon
10781.Cage50.female.Qa20	Cage50	10/11/16 10:00	Qa-1-/-	Qa-1-/- none	32	female	Qa-1-/-	In-house	Qa-1-/- none	18.92725698	0.674969852
10781.Cage50.female.Qa21	Cage50	10/11/16 10:00	Qa-1-/-	Qa-1-/- none	32	female	Qa-1-/-	In-house	Qa-1-/- none	16.6323926	0.590261198
10781.Cage50.female.Qa22	Cage50	10/11/16 10:00	Qa-1-/-	Qa-1-/- none	32	female	Qa-1-/-	In-house	Qa-1-/- none	10.84824415	0.625631151
10781.Cage50.female.Qa23	Cage50	10/11/16 10:00	Qa-1-/-	Qa-1-/- none	32	female	Qa-1-/-	In-house	Qa-1-/- none	11.47417928	0.59247989
10781.Cage51.female.Qa24	Cage51	10/11/16 10:00	Qa-1-/-	Qa-1-/- none	27	female	Qa-1-/-	In-house	Qa-1-/- none	8.268552707	0.614479862
10781.Cage51.female.Qa25	Cage51	10/11/16 10:00	Qa-1-/-	Qa-1-/- none	27	female	Qa-1-/-	In-house	Qa-1-/- none	9.000135566	0.580045796
10781.Cage51.female.Qa26	Cage51	10/11/16 10:00	Qa-1-/-	Qa-1-/- none	27	female	Qa-1-/-	In-house	Qa-1-/- none	11.73423583	0.629770434
10781.Cage52.male.Qa32	Cage52	10/11/16 10:00	Qa-1-/-	Qa-1-/- none	24	male	Qa-1-/-	In-house	Qa-1-/- none	11.15403681	0.611205353
10781.Cage52.male.Qa33	Cage53	10/11/16 10:00	Qa-1-/-	Qa-1-/- none	24	male	Qa-1-/-	In-house	Qa-1-/- none	16.18614394	0.566596917
10781.Cage53.female.Qa27	Cage52	10/11/16 10:00	Qa-1-/-	Qa-1-/- none	24	female	Qa-1-/-	In-house	Qa-1-/- none	10.65394384	0.578318007
10781.Cage54.female.Qa28	Cage54	10/11/16 10:00	Qa-1-/-	Qa-1-/- none	16	female	Qa-1-/-	In-house	Qa-1-/- none	10.87138212	0.551786823
10781.Cage55.male.Qa33	Cage55	10/11/16 10:00	Qa-1-/-	Qa-1-/- none	16	male	Qa-1-/-	In-house	Qa-1-/- none	18.03874781	0.695635452
10781.Cage56.female.Qa29	Cage56	10/11/16 10:00	Qa-1-/-	Qa-1-/- none	8	female	Qa-1-/-	In-house	Qa-1-/- none	11.68239427	0.592115582
10781.Cage56.female.Qa31	Cage56	10/11/16 10:00	Qa-1-/-	Qa-1-/- none	8	female	Qa-1-/-	In-house	Qa-1-/- none	10.4020975	0.584385904
