#OTU ID	10781.Cage2.male.WT4	10781.Cage2.male.WT5	10781.Cage3.male.WT6	10781.Cage1.female.WT1	10781.Cage1.female.WT2	10781.Cage1.female.WT3	10781.Cage1.female.WT4	10781.Cage1.female.WT5	10781.Cage2.male.WT1	10781.Cage2.male.WT2	10781.Cage2.male.WT3	10781.Cage4.female.WT10	10781.Cage5.female.WT11	10781.Cage6.male.WT11	10781.Cage3.male.WT7	10781.Cage3.male.WT8	10781.Cage3.male.WT9	10781.Cage3.male.WT10	10781.Cage4.female.WT6	10781.Cage4.female.WT7	10781.Cage4.female.WT8	10781.Cage4.female.WT9	10781.Cage6.male.WT12	10781.Cage6.male.WT13	10781.Cage6.male.WT14	10781.Cage6.male.WT15	10781.Cage12.male.Ja1	10781.Cage14.male.WT18	10781.Cage14.male.WT19	10781.Cage14.male.WT20	10781.Cage12.male.Ja2	10781.Cage12.male.Ja3	10781.Cage12.male.Ja4	10781.Cage13.male.Ja5	10781.Cage13.male.Ja6	10781.Cage13.male.Ja7	10781.Cage14.male.WT16	10781.Cage14.male.WT17	10781.Cage16.male.WT29	10781.Cage16.male.WT30	10781.Cage17.female.WT12	10781.Cage15.male.WT21	10781.Cage15.male.WT22	10781.Cage15.male.WT23	10781.Cage15.male.WT24	10781.Cage15.male.WT25	10781.Cage16.male.WT26	10781.Cage16.male.WT27	10781.Cage16.male.WT28	10781.Cage17.female.WT13	10781.Cage18.male.WT31	10781.Cage25.female.Ja1	10781.Cage26.female.Ja10	10781.Cage27.male.Ja8	10781.Cage27.male.Ja9	10781.Cage25.female.Ja2	10781.Cage25.female.Ja3	10781.Cage25.female.Ja4	10781.Cage25.female.Ja5	10781.Cage26.female.Ja6	10781.Cage26.female.Ja7	10781.Cage26.female.Ja8	10781.Cage26.female.Ja9	10781.Cage27.male.Ja10	10781.Cage28.male.Ja11	10781.Cage28.male.Ja12	10781.Cage28.male.Ja13	10781.Cage29.male.Ja14	10781.Cage29.male.Ja15	10781.Cage29.male.Ja16	10781.Cage58.female.WT21	10781.Cage59.female.WT22	10781.Cage59.female.WT23	10781.Cage57.female.WT14	10781.Cage57.female.WT15	10781.Cage57.female.WT16	10781.Cage57.female.WT17	10781.Cage58.female.WT18	10781.Cage58.female.WT19	10781.Cage58.female.WT20	10781.Cage59.female.WT24	10781.Cage59.female.WT25	10781.Cage60.male.WT32	10781.Cage60.male.WT33	10781.Cage61.male.WT34	10781.Cage61.male.WT35
356.1916;0.4947	174.2232311	151.220491	112.1086995	0	78.24879111	0	0	122.5539502	162.4641522	0	111.893339	72.0948826	105.8464507	389.1805534	283.7337266	0	67.42864663	64.44073792	0	69.81908234	49.86627121	0	236.1550831	72.27506222	0	0	41.89511002	0	78.86878796	139.6482829	0	0	0	0	0	0	0	216.7778698	0	0	0	87.00042604	81.2059571	0	0	0	232.5122188	0	0	67.39486779	0	0	231.4375102	183.1718808	128.8303372	81.25550683	112.7558714	0	69.73783152	145.6155666	164.0032708	174.0049897	123.1766907	258.5593825	0	48.33006111	0	0	88.99961625	51.75536941	0	0	0	0	0	63.33223101	0	86.44680934	0	0	77.41530808	0	0	0	122.7647339	0
254.0344;2.8055	581.9714621	251.5141289	0	0	0	0	0	64.80419322	146.5286618	244.9210649	283.992302	0	97.78659142	340.636568	470.4900987	0	0	0	0	158.9779137	0	0	420.9209097	38.91251577	0	0	200.5270557	0	0	0	747.9578789	0	121.2546558	0	1143.670079	75.92997612	0	313.0723575	0	0	73.61054396	0	0	0	0	0	174.9946389	0	0	0	0	0	471.6472342	296.5082972	0	0	0	0	0	41.63810161	138.0720948	50.95044855	330.2655284	344.4195434	0	0	0	0	98.75689019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
506.2788;4.949	113.9180368	0	113.132375	0	57.13575421	112.0379691	77.01052259	61.58272124	0	0	0	104.1936292	35.64840305	358.1199998	135.9204959	228.7442463	415.6053249	309.6394696	0	74.37490532	51.53963996	84.04678389	402.4865349	514.704336	232.2112746	373.115496	451.9873953	121.3753489	115.6256712	184.4964723	890.0222046	848.0490211	682.5802398	639.2676135	510.8736128	171.8340749	366.3064282	128.3826927	681.2167569	0	1041.759051	172.8812564	116.529879	0	169.3186536	98.85255973	110.0575938	1097.519494	799.8837729	77.15628341	134.9899448	675.2439193	153.367411	32.3679087	171.4149017	54.46679805	63.42266855	0	57.86007849	35.16154293	107.3727125	79.30465773	94.53479803	214.0307662	116.6647625	254.1742594	162.7854936	0	40.1988067	42.7207037	0	0	57.09097038	70.89775878	0	0	0	0	0	0	38.10557865	0	0	0	0	0
191.0346;2.7664	603.5135793	233.0620951	0	0	0	0	0	79.03593525	130.8977264	277.195056	216.5938177	0	140.3458265	362.1605486	392.4608597	0	0	0	0	206.6289097	0	0	434.6133376	58.00182347	0	0	206.0347434	0	0	0	820.8350904	0	158.9005193	0	1166.687032	110.9968071	0	360.8467238	0	0	111.7245068	0	0	0	0	0	164.5344184	0	0	0	0	0	443.9403217	249.7829199	0	0	0	0	0	39.88441442	127.1960361	42.87979051	306.7917466	109.9432341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
511.2345;4.9538	148.3610053	0	81.77574432	95.94374351	194.0343809	0	107.3637	77.25315198	0	114.4264332	0	102.1604549	0	360.6579833	176.7918063	240.1655927	579.0219443	364.6935187	63.37732144	0	0	61.59866215	259.1854471	290.5336498	352.6580431	599.7310922	569.7457218	230.7933372	167.1827104	241.3969406	1577.387703	1952.256133	1557.559531	1327.186799	545.9641758	335.0898401	665.2848189	147.5497761	1427.880804	0	1360.755867	302.7828959	201.4419614	0	326.6617012	215.6731439	68.12744748	1577.832297	1278.768674	105.6358954	240.27444	1049.928063	228.9538635	46.12670478	232.3063925	104.2916626	135.7772423	111.1731994	107.8811706	51.71613937	142.2667732	68.78150648	124.3629732	186.601931	193.7640135	547.2493385	337.7154678	45.81986702	29.8424822	35.93844183	0	0	0	52.47718687	0	0	0	0	92.918691	0	52.63168508	0	0	0	0	0
321.1769;5.2094	167.4843827	0	120.8973646	0	0	0	0	49.17893171	0	0	0	73.84039631	167.1687306	400.6426	161.9635847	273.3307193	187.1889984	350.019622	114.2014993	47.09557353	179.545962	209.9015043	180.4079401	88.3853762	272.7418071	693.4724397	143.6109358	318.033058	162.2815804	180.7174731	241.3901394	500.6600244	347.1859577	181.6658226	119.5740106	300.2476475	236.3453346	121.2539954	0	0	191.3600806	187.4161194	298.6134865	0	595.6368063	255.2335924	143.6813508	168.667037	144.5096818	0	111.9504052	82.22699739	226.7736245	97.26167859	159.39961	116.1195896	0	185.7691123	98.70014066	59.3935905	60.30112568	52.68098872	123.3422554	272.0928809	332.055556	559.0629456	420.4126063	106.323073	34.00537813	229.9240628	0	0	0	0	0	0	0	0	0	0	0	0	0	203.4055823	0	0
173.0245;2.7685	489.5410392	226.4468163	0	0	0	0	0	79.89377393	151.2540156	246.4306721	209.6759859	0	108.1184431	294.5696112	396.2077612	0	0	0	0	171.9160455	0	0	387.1363176	48.41182191	0	0	196.7417596	0	0	0	660.3205618	0	0	0	873.5726266	84.46102829	0	303.7796898	0	0	81.42855435	0	0	0	0	0	155.087861	0	0	0	0	0	370.7346124	215.675066	0	0	0	0	0	52.66820451	114.5983162	47.2933397	265.3615705	70.95636148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
262.6489;5.2917	228.3088244	0	430.9671114	548.1739874	1059.884182	1880.998981	1723.007936	657.5578454	0	277.3192786	0	1782.413497	1095.418752	188.1508442	368.7062511	542.3214169	671.4056418	968.3315813	2246.153562	212.6914537	1293.435629	2057.665925	473.0392626	100.934009	1025.444552	1641.498917	1077.581353	1135.706031	515.805193	682.9789653	919.1034825	2501.281018	2750.879066	1916.656315	1412.970035	790.1320671	2224.489166	308.9889336	1199.462593	0	802.7444383	422.8161908	626.2662616	0	931.5534722	436.8419715	266.6245691	932.0466619	440.7043697	1608.25784	1895.242551	579.5569313	354.6892845	185.8305214	563.7046765	709.727271	1604.664576	2647.766511	2365.084984	1064.888372	183.4081085	337.9190892	179.4187286	536.9574156	775.6066095	955.0867893	1248.33661	5691.811429	3932.610615	2100.033002	1189.626229	1217.926794	1704.482225	1596.130259	1436.623876	1329.052104	2700.743811	1432.52434	1371.839034	1592.551115	1274.709595	1722.20644	1911.557435	1255.78993	821.081592	929.3678702
321.1776;6.1271	136.0734435	0	108.1505017	267.5583292	96.25228492	231.2545203	236.4636791	129.6722064	114.8334387	113.5129316	56.81278544	144.9361418	111.4756266	278.1777851	221.8706971	187.1019428	278.4049667	273.1994578	188.8591729	92.91654991	90.20781265	204.0647013	133.0044692	215.3952425	89.69895679	341.6914711	121.0321197	277.2486319	156.9335343	136.3949272	130.6538509	287.0213218	161.6252722	130.4564204	90.49582461	118.9691432	113.151624	287.5980362	355.2764773	0	447.0273011	179.9216265	141.0652043	0	247.5602809	139.4882361	78.97658483	471.0210831	368.124768	74.18762921	91.55626165	84.1783613	201.4911005	66.81296936	133.7515543	282.8693366	116.2896952	243.3425679	260.2665801	147.2379225	104.0548801	176.303847	121.1322312	358.0700111	139.5713113	345.8324256	470.9494635	199.4015136	78.66577277	117.0149611	135.4535842	0	207.5285025	0	0	0	0	104.1821077	0	0	41.88973796	60.22578688	300.5703463	544.2240369	0	367.0943093
298.1774;7.5216	73.45756484	74.44743524	63.25475373	0	163.1266783	209.9200837	138.510672	97.58525569	98.12879266	0	83.23502683	190.7980198	78.25544472	200.5180596	76.15205692	181.4823359	101.9829438	0	161.2742804	119.039167	263.108904	248.8118769	0	98.8460879	273.5345029	454.8953057	245.4170419	541.3302887	245.2678524	274.8483578	289.5375754	598.6004101	404.6678412	336.4603235	290.9476971	343.5979027	314.9599962	0	170.3334863	0	239.9693662	295.6932877	310.4843419	0	263.8346958	366.1841925	153.747803	0	165.1223322	383.5196006	383.4561505	353.9130728	194.0678164	92.48413147	131.5394649	135.60269	207.5984795	286.1616265	204.9399115	148.4379248	90.83507702	47.42757394	174.7822403	100.6362013	199.7613977	179.0294253	227.2459717	109.3238248	130.9443771	280.676474	235.5133165	287.0973301	190.0180251	280.1435521	172.2341614	0	290.1644002	301.5301033	126.0832192	101.6068486	50.20740568	110.6843292	0	467.8541111	252.7207122	253.0317598
485.3257;5.5697	102.4330927	0	65.2964014	0	48.79994944	0	0	34.21344902	0	0	0	84.08206126	53.48953373	245.7517728	162.1534187	177.3696517	408.282242	342.423187	0	0	213.9326855	87.61631817	215.7729226	61.73315964	105.8746451	468.1253869	313.6716916	159.5020214	161.1549149	221.2345606	211.7917001	550.1145586	268.4525106	216.5374183	92.38096686	168.4265206	177.6860909	113.3925846	0	0	135.3443424	114.4224687	183.8600449	0	253.3851247	152.959597	101.5918736	93.99340705	144.3065477	0	0	252.544363	113.3620472	95.67554158	115.4289351	66.06193545	59.90609481	0	0	30.12989486	31.83582241	61.27847455	52.51200241	217.1166392	280.9130381	616.8575383	363.3049447	62.07417077	52.74685624	251.2126409	170.5687536	286.751243	221.0894801	57.96860447	125.1949185	0	332.129745	186.4393021	147.0382765	102.1622782	60.91384273	101.6669389	162.656711	2595.995849	648.4682306	673.5550702
