plate #	biological group	sample name	replicate	unique sample name	DNA input (ng)	normalization factor	Cq	Log10 qPCR DNA quantity 	qPCR DNA quantity (ng)	normalized qPCR DNA quantity (ng)	Akkermancia Gene Copies	Akkermancia Gene Copies Corrected	Akkermancia Muciniphillia Cells	Akkermancia Muciniphillia Corrected Cell Count	qPCR Outlier
Plate2	Qa-1-/-	36	C	Qa-1-/-36_C	9.19	0.92	21.31	-2.42	0.003816	0.0041522	" 2,684,935.69 "	11766094.34	" 894,978.56 "	" 3,922,031.45 "	 No 
Plate2	Qa-1-/-	37	A	Qa-1-/-37_A	7.60	0.76	19.42	-1.90	0.012674	0.0166761	" 10,783,196.55 "	47254803.21	" 3,594,398.85 "	" 15,751,601.07 "	 No 
Plate2	Qa-1-/-	37	B	Qa-1-/-37_B	7.60	0.76	19.42	-1.90	0.012684	0.0166900	" 10,792,210.26 "	47294303.67	" 3,597,403.42 "	" 15,764,767.89 "	 No 
Plate2	Qa-1-/-	37	C	Qa-1-/-37_C	7.60	0.76	19.42	-1.90	0.012678	0.0166814	" 10,786,613.65 "	47269777.86	" 3,595,537.88 "	" 15,756,592.62 "	 No 
Plate2	Qa-1-/-	38	A	Qa-1-/-38_A	11.50	1.15	23.55	-3.04	0.000922	0.0008020	" 518,585.16 "	2272576.56	" 172,861.72 "	" 757,525.52 "	 No 
Plate2	Qa-1-/-	38	B	Qa-1-/-38_B	11.50	1.15	23.69	-3.07	0.000843	0.0007335	" 474,268.63 "	2078369.88	" 158,089.54 "	" 692,789.96 "	 No 
Plate2	Qa-1-/-	38	C	Qa-1-/-38_C	11.50	1.15	23.59	-3.05	0.000901	0.0007838	" 506,800.85 "	2220934.60	" 168,933.62 "	" 740,311.53 "	 No 
Plate2	Qa-1-/-	39	A	Qa-1-/-39_A	36.40	3.64	21.17	-2.38	0.004186	0.0011501	" 743,660.10 "	3258914.12	" 247,886.70 "	" 1,086,304.71 "	 No 
Plate2	Qa-1-/-	39	B	Qa-1-/-39_B	36.40	3.64	21.20	-2.39	0.004098	0.0011259	" 728,009.99 "	3190331.23	" 242,670.00 "	" 1,063,443.74 "	 No 
Plate2	Qa-1-/-	39	C	Qa-1-/-39_C	36.40	3.64	21.17	-2.38	0.004175	0.0011470	" 741,686.69 "	3250266.13	" 247,228.90 "	" 1,083,422.04 "	 No 
Plate2	Qa-1-/-	40	A	Qa-1-/-40_A	6.77	0.68	20.56	-2.21	0.006142	0.0090721	" 5,866,268.74 "	25707532.41	" 1,955,422.91 "	" 8,569,177.47 "	 No 
Plate2	Qa-1-/-	40	B	Qa-1-/-40_B	6.77	0.68	20.57	-2.21	0.006111	0.0090261	" 5,836,481.49 "	25576996.88	" 1,945,493.83 "	" 8,525,665.63 "	 No 
Plate2	Qa-1-/-	40	C	Qa-1-/-40_C	6.77	0.68	20.57	-2.21	0.006113	0.0090301	" 5,839,078.23 "	25588376.46	" 1,946,359.41 "	" 8,529,458.82 "	 No 
Plate2	Qa-1-/-	41	A	Qa-1-/-41_A	9.68	0.97	31.44	-5.21	0.000006	0.0000064	" 4,145.90 "	18168.44	" 1,381.97 "	" 6,056.15 "	 No 
Plate2	Qa-1-/-	41	B	Qa-1-/-41_B	9.68	0.97	31.44	-5.21	0.000006	0.0000064	" 4,134.52 "	18118.55	" 1,378.17 "	" 6,039.52 "	 No 
Plate2	Qa-1-/-	41	C	Qa-1-/-41_C	9.68	0.97	31.30	-5.17	0.000007	0.0000070	" 4,537.17 "	19883.05	" 1,512.39 "	" 6,627.68 "	 No 
Plate2	Qa-1-/-	42	A	Qa-1-/-42_A	21.10	2.11	29.68	-4.72	0.000019	0.0000090	" 5,792.66 "	25384.96	" 1,930.89 "	" 8,461.65 "	 No 
Plate2	Qa-1-/-	42	B	Qa-1-/-42_B	21.10	2.11	34.00	-5.91	0.000001	0.0000006	 374.60 	1641.57	 124.87 	 547.19 	 No 
Plate2	Qa-1-/-	42	C	Qa-1-/-42_C	21.10	2.11	30.87	-5.05	0.000009	0.0000042	" 2,730.39 "	11965.30	 910.13 	" 3,988.43 "	 No 
Plate2	Qa-1-/-	43	A	Qa-1-/-43_A	13.90	1.39	31.03	-5.09	0.000008	0.0000058	" 3,747.69 "	16423.35	" 1,249.23 "	" 5,474.45 "	 No 
Plate2	Qa-1-/-	43	B	Qa-1-/-43_B	13.90	1.39	31.05	-5.10	0.000008	0.0000057	" 3,691.69 "	16177.97	" 1,230.56 "	" 5,392.66 "	 No 
Plate2	Qa-1-/-	43	C	Qa-1-/-43_C	13.90	1.39	31.02	-5.09	0.000008	0.0000058	" 3,758.85 "	16472.26	" 1,252.95 "	" 5,490.75 "	 No 
Plate2	Qa-1-/-	44	A	Qa-1-/-44_A	18.90	1.89	31.10	-5.11	0.000008	0.0000041	" 2,632.08 "	11534.46	 877.36 	" 3,844.82 "	 No 
Plate2	Qa-1-/-	44	B	Qa-1-/-44_B	18.90	1.89	31.02	-5.09	0.000008	0.0000043	" 2,766.78 "	12124.75	 922.26 	" 4,041.58 "	 No 
Plate2	Qa-1-/-	44	C	Qa-1-/-44_C	18.90	1.89	30.99	-5.08	0.000008	0.0000044	" 2,826.50 "	12386.47	 942.17 	" 4,128.82 "	 No 
Plate3	Qa-1-/-	74	A	Qa-1-/-74_A	2.76	0.28	22.76	-2.82	0.001522	0.0055154	" 3,566,420.54 "	15628992.77	" 1,188,806.85 "	" 5,209,664.26 "	 No 
Plate3	Qa-1-/-	74	B	Qa-1-/-74_B	2.76	0.28	22.82	-2.83	0.001470	0.0053269	" 3,444,534.17 "	15094854.64	" 1,148,178.06 "	" 5,031,618.21 "	 No 
Plate3	Qa-1-/-	74	C	Qa-1-/-74_C	2.76	0.28	22.83	-2.84	0.001460	0.0052891	" 3,420,038.70 "	14987509.03	" 1,140,012.90 "	" 4,995,836.34 "	 No 
Plate3	Qa-1-/-	75	A	Qa-1-/-75_A	29.40	2.94	31.09	-5.11	0.000008	0.0000026	" 1,700.73 "	7453.06	 566.91 	" 2,484.35 "	 No 
Plate3	Qa-1-/-	75	B	Qa-1-/-75_B	29.40	2.94	30.90	-5.06	0.000009	0.0000030	" 1,917.67 "	8403.72	 639.22 	" 2,801.24 "	 No 
Plate3	Qa-1-/-	75	C	Qa-1-/-75_C	29.40	2.94	31.08	-5.11	0.000008	0.0000026	" 1,712.48 "	7504.55	 570.83 	" 2,501.52 "	 No 
Plate3	Qa-1-/-	76	A	Qa-1-/-76_A	4.11	0.41	31.48	-5.22	0.000006	0.0000147	" 9,524.88 "	41740.54	" 3,174.96 "	" 13,913.51 "	 No 
Plate3	Qa-1-/-	76	B	Qa-1-/-76_B	4.11	0.41	31.56	-5.24	0.000006	0.0000139	" 9,014.32 "	39503.12	" 3,004.77 "	" 13,167.71 "	 No 
Plate3	Qa-1-/-	76	C	Qa-1-/-76_C	4.11	0.41	31.52	-5.23	0.000006	0.0000143	" 9,263.14 "	40593.54	" 3,087.71 "	" 13,531.18 "	 No 
Plate3	Qa-1-/-	77	A	Qa-1-/-77_A	21.00	2.10	31.11	-5.12	0.000008	0.0000036	" 2,350.28 "	10299.53	 783.43 	" 3,433.18 "	 No 
Plate3	Qa-1-/-	77	B	Qa-1-/-77_B	21.00	2.10	31.15	-5.13	0.000007	0.0000035	" 2,291.09 "	10040.14	 763.70 	" 3,346.71 "	 No 
Plate3	Qa-1-/-	77	C	Qa-1-/-77_C	21.00	2.10	31.05	-5.10	0.000008	0.0000038	" 2,443.88 "	10709.73	 814.63 	" 3,569.91 "	 No 
Plate3	Qa-1-/-	78	A	Qa-1-/-78_A	35.20	3.52	25.38	-3.54	0.000289	0.0000821	" 53,104.88 "	232719.57	" 17,701.63 "	" 77,573.19 "	 No 
Plate3	Qa-1-/-	78	B	Qa-1-/-78_B	35.20	3.52	25.43	-3.55	0.000281	0.0000798	" 51,615.44 "	226192.41	" 17,205.15 "	" 75,397.47 "	 No 
Plate3	Qa-1-/-	78	C	Qa-1-/-78_C	35.20	3.52	25.65	-3.61	0.000244	0.0000693	" 44,803.51 "	196340.78	" 14,934.50 "	" 65,446.93 "	 No 
Plate3	Qa-1-/-	79	A	Qa-1-/-79_A	13.90	1.39	24.76	-3.37	0.000428	0.0003079	" 199,083.65 "	872436.91	" 66,361.22 "	" 290,812.30 "	 No 
Plate3	Qa-1-/-	79	B	Qa-1-/-79_B	13.90	1.39	24.68	-3.35	0.000452	0.0003249	" 210,098.37 "	920706.29	" 70,032.79 "	" 306,902.10 "	 No 
Plate3	Qa-1-/-	79	C	Qa-1-/-79_C	13.90	1.39	24.61	-3.33	0.000471	0.0003392	" 219,313.11 "	961087.75	" 73,104.37 "	" 320,362.58 "	 No 
Plate3	Qa-1-/-	80	A	Qa-1-/-80_A	3.97	0.40	31.51	-5.23	0.000006	0.0000149	" 9,659.35 "	42329.82	" 3,219.78 "	" 14,109.94 "	 No 
Plate3	Qa-1-/-	80	B	Qa-1-/-80_B	3.97	0.40	31.54	-5.23	0.000006	0.0000147	" 9,490.47 "	41589.74	" 3,163.49 "	" 13,863.25 "	 No 
Plate3	Qa-1-/-	80	C	Qa-1-/-80_C	3.97	0.40	31.64	-5.26	0.000005	0.0000137	" 8,882.05 "	38923.46	" 2,960.68 "	" 12,974.49 "	 No 
Plate3	Qa-1-/-	81	A	Qa-1-/-81_A	10.00	1.00	31.31	-5.17	0.000007	0.0000067	" 4,347.21 "	19050.63	" 1,449.07 "	" 6,350.21 "	 No 
Plate3	Qa-1-/-	81	B	Qa-1-/-81_B	10.00	1.00	31.26	-5.16	0.000007	0.0000069	" 4,493.48 "	19691.62	" 1,497.83 "	" 6,563.87 "	 No 
Plate3	Qa-1-/-	81	C	Qa-1-/-81_C	10.00	1.00	31.21	-5.14	0.000007	0.0000072	" 4,636.05 "	20316.39	" 1,545.35 "	" 6,772.13 "	 No 
Plate3	Qa-1-/-	82	A	Qa-1-/-82_A	31.60	3.16	3.23	2.56	363.710260	115.0981836	" 74,425,504,322.55 "	326152133621.46	" 24,808,501,440.85 "	" 108,717,377,873.82 "	 Yes 
Plate3	Qa-1-/-	82	B	Qa-1-/-82_B	31.60	3.16	30.37	-4.91	0.000012	0.0000039	" 2,504.88 "	10977.06	 834.96 	" 3,659.02 "	 No 
Plate3	Qa-1-/-	82	C	Qa-1-/-82_C	31.60	3.16	30.12	-4.84	0.000014	0.0000045	" 2,929.85 "	12839.35	 976.62 	" 4,279.78 "	 No 
Plate3	Qa-1-/-	83	A	Qa-1-/-83_A	16.70	1.67	34.67	-6.10	0.000001	0.0000005	 309.75 	1357.39	 103.25 	 452.46 	 No 
Plate3	Qa-1-/-	83	B	Qa-1-/-83_B	16.70	1.67	30.48	-4.94	0.000011	0.0000068	" 4,400.21 "	19282.86	" 1,466.74 "	" 6,427.62 "	 No 
Plate3	Qa-1-/-	83	C	Qa-1-/-83_C	16.70	1.67	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate3	Qa-1-/-	84	A	Qa-1-/-84_A	3.43	0.34	31.35	-5.18	0.000007	0.0000191	" 12,347.09 "	54108.19	" 4,115.70 "	" 18,036.06 "	 No 
Plate3	Qa-1-/-	84	B	Qa-1-/-84_B	3.43	0.34	30.18	-4.86	0.000014	0.0000401	" 25,956.51 "	113748.26	" 8,652.17 "	" 37,916.09 "	 No 
Plate3	Qa-1-/-	84	C	Qa-1-/-84_C	3.43	0.34	31.39	-5.19	0.000006	0.0000186	" 12,058.13 "	52841.91	" 4,019.38 "	" 17,613.97 "	 No 
Plate3	Qa-1-/-	85	A	Qa-1-/-85_A	27.90	2.79	22.94	-2.87	0.001360	0.0004875	" 315,260.78 "	1381555.63	" 105,086.93 "	" 460,518.54 "	 No 
Plate3	Qa-1-/-	85	B	Qa-1-/-85_B	27.90	2.79	23.14	-2.92	0.001195	0.0004284	" 277,013.89 "	1213947.72	" 92,337.96 "	" 404,649.24 "	 No 
Plate3	Qa-1-/-	85	C	Qa-1-/-85_C	27.90	2.79	23.61	-3.05	0.000886	0.0003175	" 205,279.15 "	899587.21	" 68,426.38 "	" 299,862.40 "	 No 
Plate3	Qa-1-/-	86	A	Qa-1-/-86_A	26.70	2.67	21.73	-2.53	0.002925	0.0010956	" 708,473.53 "	3104717.33	" 236,157.84 "	" 1,034,905.78 "	 No 
Plate3	Qa-1-/-	86	B	Qa-1-/-86_B	26.70	2.67	21.71	-2.53	0.002956	0.0011070	" 715,806.54 "	3136852.51	" 238,602.18 "	" 1,045,617.50 "	 No 
Plate3	Qa-1-/-	86	C	Qa-1-/-86_C	26.70	2.67	21.69	-2.52	0.003000	0.0011236	" 726,575.35 "	3184044.26	" 242,191.78 "	" 1,061,348.09 "	 No 
Plate3	Qa-1-/-	87	A	Qa-1-/-87_A	10.00	1.00	26.43	-3.83	0.000148	0.0001483	" 95,918.60 "	420340.55	" 31,972.87 "	" 140,113.52 "	 No 
Plate3	Qa-1-/-	87	B	Qa-1-/-87_B	10.00	1.00	26.66	-3.89	0.000129	0.0001286	" 83,126.91 "	364283.99	" 27,708.97 "	" 121,428.00 "	 No 
Plate3	Qa-1-/-	87	C	Qa-1-/-87_C	10.00	1.00	26.67	-3.89	0.000127	0.0001275	" 82,442.33 "	361283.99	" 27,480.78 "	" 120,428.00 "	 No 
Plate3	Qa-1-/-	88	A	Qa-1-/-88_A	22.10	2.21	22.73	-2.81	0.001555	0.0007036	" 454,962.87 "	1993766.93	" 151,654.29 "	" 664,588.98 "	 No 
Plate3	Qa-1-/-	88	B	Qa-1-/-88_B	22.10	2.21	22.71	-2.80	0.001570	0.0007104	" 459,371.74 "	2013087.79	" 153,123.91 "	" 671,029.26 "	 No 
Plate3	Qa-1-/-	88	C	Qa-1-/-88_C	22.10	2.21	22.69	-2.80	0.001592	0.0007202	" 465,716.17 "	2040890.72	" 155,238.72 "	" 680,296.91 "	 No 
Plate1	Water	1	A	Water_1_A	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate1	Water	1	B	Water_1_B	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate1	Water	1	C	Water_1_C	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate2	Water	2	A	Water_2_A	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate2	Water	2	B	Water_2_B	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate2	Water	2	C	Water_2_C	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate3	Water	3	A	Water_3_A	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate3	Water	3	B	Water_3_B	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate3	Water	3	C	Water_3_C	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate4	Water	4	A	Water_4_A	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate4	Water	4	B	Water_4_B	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate4	Water	4	C	Water_4_C	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate5	Water	5	A	Water_5_A	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate5	Water	5	B	Water_5_B	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate5	Water	5	C	Water_5_C	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate6	Water	6	A	Water_6_A	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate6	Water	6	B	Water_6_B	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate6	Water	6	C	Water_6_C	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate1	WT	1	A	WT_1_A	12.60	1.26	13.64	-0.31	0.494816	0.3927112	" 253,937,379.04 "	1112820379.69	" 84,645,793.01 "	" 370,940,126.56 "	 No 
Plate1	WT	1	B	WT_1_B	12.60	1.26	13.62	-0.30	0.500910	0.3975479	" 257,064,894.37 "	1126525974.41	" 85,688,298.12 "	" 375,508,658.14 "	 No 
Plate1	WT	1	C	WT_1_C	12.60	1.26	13.60	-0.29	0.507975	0.4031545	" 260,690,290.57 "	1142413414.02	" 86,896,763.52 "	" 380,804,471.34 "	 No 
Plate1	WT	10	A	WT_10_A	13.90	1.39	19.69	-1.97	0.010673	0.0076786	" 4,965,180.74 "	21758727.82	" 1,655,060.25 "	" 7,252,909.27 "	 No 
Plate1	WT	10	B	WT_10_B	13.90	1.39	19.59	-1.94	0.011371	0.0081808	" 5,289,895.48 "	23181713.24	" 1,763,298.49 "	" 7,727,237.75 "	 No 
Plate1	WT	10	C	WT_10_C	13.90	1.39	19.67	-1.97	0.010803	0.0077722	" 5,025,698.61 "	22023933.04	" 1,675,232.87 "	" 7,341,311.01 "	 No 
Plate1	WT	11	A	WT_11_A	55.00	5.50	2.20	2.85	700.186868	127.3067033	" 82,319,853,355.67 "	360747247274.23	" 27,439,951,118.56 "	" 120,249,082,424.74 "	 Yes 
Plate1	WT	11	B	WT_11_B	55.00	5.50	34.00	-5.91	0.000001	0.0000002	 143.71 	629.77	 47.90 	 209.92 	 Yes 
Plate1	WT	11	C	WT_11_C	55.00	5.50	2.01	2.90	791.584911	143.9245293	" 93,065,375,495.24 "	407836951329.31	" 31,021,791,831.75 "	" 135,945,650,443.10 "	 Yes 
Plate6	WT	113	A	WT_113_A	30.00	3.00	31.12	-5.12	0.000008	0.0000025	" 1,638.48 "	7180.27	 546.16 	" 2,393.42 "	 No 
Plate6	WT	113	B	WT_113_B	30.00	3.00	31.36	-5.19	0.000007	0.0000022	" 1,404.88 "	6156.55	 468.29 	" 2,052.18 "	 No 
Plate6	WT	113	C	WT_113_C	30.00	3.00	31.22	-5.15	0.000007	0.0000024	" 1,534.07 "	6722.68	 511.36 	" 2,240.89 "	 No 
Plate6	WT	114	A	WT_114_A	17.90	1.79	3.17	2.58	378.690684	211.5590415	" 136,799,624,996.91 "	599491934619.48	" 45,599,874,998.97 "	" 199,830,644,873.16 "	 Yes 
Plate6	WT	114	B	WT_114_B	17.90	1.79	34.11	-5.94	0.000001	0.0000006	 412.72 	1808.66	 137.57 	 602.89 	 No 
Plate6	WT	114	C	WT_114_C	17.90	1.79	31.08	-5.11	0.000008	0.0000043	" 2,812.04 "	12323.08	 937.35 	" 4,107.69 "	 No 
Plate6	WT	115	A	WT_115_A	12.00	1.20	15.97	-0.95	0.112702	0.0939182	" 60,729,942.98 "	266134581.92	" 20,243,314.33 "	" 88,711,527.31 "	 No 
Plate6	WT	115	B	WT_115_B	12.00	1.20	15.97	-0.95	0.112797	0.0939974	" 60,781,178.26 "	266359108.41	" 20,260,392.75 "	" 88,786,369.47 "	 No 
Plate6	WT	115	C	WT_115_C	12.00	1.20	15.98	-0.95	0.112493	0.0937445	" 60,617,677.38 "	265642604.54	" 20,205,892.46 "	" 88,547,534.85 "	 No 
Plate6	WT	116	A	WT_116_A	9.59	0.96	16.65	-1.14	0.073141	0.0762676	" 49,316,662.80 "	216118586.52	" 16,438,887.60 "	" 72,039,528.84 "	 No 
Plate6	WT	116	B	WT_116_B	9.59	0.96	16.65	-1.14	0.073155	0.0762828	" 49,326,473.20 "	216161578.29	" 16,442,157.73 "	" 72,053,859.43 "	 No 
Plate6	WT	116	C	WT_116_C	9.59	0.96	16.67	-1.14	0.072641	0.0757469	" 48,979,946.57 "	214643007.47	" 16,326,648.86 "	" 71,547,669.16 "	 No 
Plate1	WT	12	A	WT_12_A	9.80	0.98	19.98	-2.05	0.008887	0.0090685	" 5,863,937.62 "	25697316.87	" 1,954,645.87 "	" 8,565,772.29 "	 No 
Plate1	WT	12	B	WT_12_B	9.80	0.98	19.96	-2.05	0.008996	0.0091792	" 5,935,524.79 "	26011030.65	" 1,978,508.26 "	" 8,670,343.55 "	 No 
Plate1	WT	12	C	WT_12_C	9.80	0.98	19.94	-2.04	0.009078	0.0092634	" 5,989,976.04 "	26249650.34	" 1,996,658.68 "	" 8,749,883.45 "	 No 
Plate1	WT	13	A	WT_13_A	33.90	3.39	17.18	-1.28	0.052273	0.0154197	" 9,970,789.84 "	43694623.38	" 3,323,596.61 "	" 14,564,874.46 "	 No 
Plate1	WT	13	B	WT_13_B	33.90	3.39	17.15	-1.27	0.053498	0.0157812	" 10,204,523.07 "	44718903.86	" 3,401,507.69 "	" 14,906,301.29 "	 No 
Plate1	WT	13	C	WT_13_C	33.90	3.39	17.16	-1.28	0.053021	0.0156404	" 10,113,517.93 "	44320095.40	" 3,371,172.64 "	" 14,773,365.13 "	 No 
Plate1	WT	14	A	WT_14_A	48.70	4.87	14.30	-0.49	0.324590	0.0666508	" 43,098,177.22 "	188867547.25	" 14,366,059.07 "	" 62,955,849.08 "	 No 
Plate1	WT	14	B	WT_14_B	48.70	4.87	14.35	-0.50	0.315724	0.0648305	" 41,921,095.43 "	183709265.31	" 13,973,698.48 "	" 61,236,421.77 "	 No 
Plate1	WT	14	C	WT_14_C	48.70	4.87	14.28	-0.48	0.330291	0.0678216	" 43,855,237.34 "	192185183.80	" 14,618,412.45 "	" 64,061,727.93 "	 No 
Plate1	WT	15	A	WT_15_A	26.70	2.67	17.16	-1.27	0.053223	0.0199336	" 12,889,603.69 "	56485633.29	" 4,296,534.56 "	" 18,828,544.43 "	 No 
Plate1	WT	15	B	WT_15_B	26.70	2.67	17.14	-1.27	0.053655	0.0200957	" 12,994,391.79 "	56944842.31	" 4,331,463.93 "	" 18,981,614.10 "	 No 
Plate1	WT	15	C	WT_15_C	26.70	2.67	17.14	-1.27	0.053839	0.0201646	" 13,038,957.87 "	57140142.61	" 4,346,319.29 "	" 19,046,714.20 "	 No 
Plate1	WT	16	A	WT_16_A	8.52	0.85	17.71	-1.43	0.037369	0.0438605	" 28,361,376.98 "	124287012.90	" 9,453,792.33 "	" 41,429,004.30 "	 No 
Plate1	WT	16	B	WT_16_B	8.52	0.85	17.71	-1.43	0.037398	0.0438944	" 28,383,241.47 "	124382828.84	" 9,461,080.49 "	" 41,460,942.95 "	 No 
Plate1	WT	16	C	WT_16_C	8.52	0.85	17.72	-1.43	0.037194	0.0436546	" 28,228,190.54 "	123703354.86	" 9,409,396.85 "	" 41,234,451.62 "	 No 
Plate1	WT	17	A	WT_17_A	4.14	0.41	16.30	-1.04	0.091287	0.2205006	" 142,581,474.04 "	624829517.71	" 47,527,158.01 "	" 208,276,505.90 "	 No 
Plate1	WT	17	B	WT_17_B	4.14	0.41	16.32	-1.04	0.090298	0.2181113	" 141,036,464.42 "	618058879.26	" 47,012,154.81 "	" 206,019,626.42 "	 No 
Plate1	WT	17	C	WT_17_C	4.14	0.41	16.33	-1.05	0.089628	0.2164937	" 139,990,507.13 "	613475219.31	" 46,663,502.38 "	" 204,491,739.77 "	 No 
Plate1	WT	18	A	WT_18_A	5.08	0.51	18.44	-1.63	0.023585	0.0464265	" 30,020,614.19 "	131558226.73	" 10,006,871.40 "	" 43,852,742.24 "	 No 
Plate1	WT	18	B	WT_18_B	5.08	0.51	18.46	-1.63	0.023261	0.0457903	" 29,609,205.00 "	129755323.43	" 9,869,735.00 "	" 43,251,774.48 "	 No 
Plate1	WT	18	C	WT_18_C	5.08	0.51	18.40	-1.62	0.024215	0.0476672	" 30,822,832.30 "	135073757.45	" 10,274,277.43 "	" 45,024,585.82 "	 No 
Plate1	WT	19	A	WT_19_A	0.23	0.02	24.78	-3.37	0.000422	0.0182603	" 11,807,561.38 "	51743839.32	" 3,935,853.79 "	" 17,247,946.44 "	 No 
Plate1	WT	19	B	WT_19_B	0.23	0.02	24.64	-3.33	0.000464	0.0200662	" 12,975,354.41 "	56861415.51	" 4,325,118.14 "	" 18,953,805.17 "	 No 
Plate1	WT	19	C	WT_19_C	0.23	0.02	24.60	-3.32	0.000475	0.0205761	" 13,305,066.25 "	58306299.48	" 4,435,022.08 "	" 19,435,433.16 "	 No 
Plate1	WT	2	A	WT_2_A	3.67	0.37	17.50	-1.37	0.042720	0.1164040	" 75,269,872.92 "	329852378.89	" 25,089,957.64 "	" 109,950,792.96 "	 No 
Plate1	WT	2	B	WT_2_B	3.67	0.37	17.55	-1.38	0.041369	0.1127229	" 72,889,555.25 "	319421200.84	" 24,296,518.42 "	" 106,473,733.61 "	 No 
Plate1	WT	2	C	WT_2_C	3.67	0.37	17.50	-1.37	0.042678	0.1162882	" 75,194,968.06 "	329524126.09	" 25,064,989.35 "	" 109,841,375.36 "	 No 
Plate1	WT	20	A	WT_20_A	6.03	0.60	16.33	-1.05	0.089647	0.1486683	" 96,132,848.64 "	421279425.37	" 32,044,282.88 "	" 140,426,475.12 "	 No 
Plate1	WT	20	B	WT_20_B	6.03	0.60	16.33	-1.05	0.089980	0.1492197	" 96,489,396.45 "	422841911.65	" 32,163,132.15 "	" 140,947,303.88 "	 No 
Plate1	WT	20	C	WT_20_C	6.03	0.60	16.28	-1.03	0.092532	0.1534523	" 99,226,300.23 "	434835743.84	" 33,075,433.41 "	" 144,945,247.95 "	 No 
Plate5	WT	201	A	WT_201_A	2.89	0.29	15.99	-0.95	0.111542	0.3859568	" 249,569,778.43 "	1093680405.18	" 83,189,926.14 "	" 364,560,135.06 "	 No 
Plate5	WT	201	B	WT_201_B	2.89	0.29	16.00	-0.95	0.110975	0.3839971	" 248,302,585.41 "	1088127232.10	" 82,767,528.47 "	" 362,709,077.37 "	 No 
Plate5	WT	201	C	WT_201_C	2.89	0.29	15.99	-0.95	0.111675	0.3864193	" 249,868,873.59 "	1094991118.82	" 83,289,624.53 "	" 364,997,039.61 "	 No 
Plate5	WT	202	A	WT_202_A	14.20	1.42	16.61	-1.12	0.075186	0.0529478	" 34,237,443.04 "	150037479.76	" 11,412,481.01 "	" 50,012,493.25 "	 No 
Plate5	WT	202	B	WT_202_B	14.20	1.42	16.58	-1.12	0.076553	0.0539105	" 34,859,946.59 "	152765454.03	" 11,619,982.20 "	" 50,921,818.01 "	 No 
Plate5	WT	202	C	WT_202_C	14.20	1.42	16.61	-1.12	0.075430	0.0531197	" 34,348,610.13 "	150524643.17	" 11,449,536.71 "	" 50,174,881.06 "	 No 
Plate5	WT	203	A	WT_203_A	7.31	0.73	15.99	-0.95	0.111741	0.1528607	" 98,843,747.39 "	433159296.65	" 32,947,915.80 "	" 144,386,432.22 "	 No 
Plate5	WT	203	B	WT_203_B	7.31	0.73	15.98	-0.95	0.111862	0.1530263	" 98,950,838.44 "	433628597.81	" 32,983,612.81 "	" 144,542,865.94 "	 No 
Plate5	WT	203	C	WT_203_C	7.31	0.73	15.98	-0.95	0.112026	0.1532509	" 99,096,020.48 "	434264823.68	" 33,032,006.83 "	" 144,754,941.23 "	 No 
Plate5	WT	204	A	WT_204_A	8.94	0.89	19.51	-1.92	0.011952	0.0133694	" 8,645,029.04 "	37884790.87	" 2,881,676.35 "	" 12,628,263.62 "	 No 
Plate5	WT	204	B	WT_204_B	8.94	0.89	19.57	-1.94	0.011529	0.0128959	" 8,338,797.15 "	36542802.20	" 2,779,599.05 "	" 12,180,934.07 "	 No 
Plate5	WT	204	C	WT_204_C	8.94	0.89	19.52	-1.93	0.011876	0.0132844	" 8,590,071.87 "	37643954.11	" 2,863,357.29 "	" 12,547,984.70 "	 No 
