plate #	biological group	sample name	replicate	unique sample name	DNA input (ng)	normalization factor	Cq	Log10 qPCR DNA quantity 	qPCR DNA quantity (ng)	normalized qPCR DNA quantity (ng)	Akkermancia Gene Copies	Akkermancia Gene Copies Corrected	Akkermancia Muciniphillia Cells	Akkermancia Muciniphillia Corrected Cell Count	qPCR Outlier
Plate4	Qa-1-/-	170	B	Qa-1-/-170_B	0.23	0.02	28.14	-4.30	0.000050	0.0022191	" 1,434,940.51 "	6288286.69	" 478,313.50 "	" 2,096,095.56 "	 No 
Plate4	Qa-1-/-	170	C	Qa-1-/-170_C	0.23	0.02	27.81	-4.21	0.000062	0.0027224	" 1,760,347.83 "	7714307.18	" 586,782.61 "	" 2,571,435.73 "	 No 
Plate4	Qa-1-/-	171	A	Qa-1-/-171_A	0.31	0.03	24.90	-3.41	0.000392	0.0127003	" 8,212,326.88 "	35988576.19	" 2,737,442.29 "	" 11,996,192.06 "	 No 
Plate4	Qa-1-/-	171	B	Qa-1-/-171_B	0.31	0.03	24.68	-3.35	0.000450	0.0145598	" 9,414,769.38 "	41257995.49	" 3,138,256.46 "	" 13,752,665.16 "	 No 
Plate4	Qa-1-/-	171	C	Qa-1-/-171_C	0.31	0.03	24.82	-3.39	0.000412	0.0133271	" 8,617,638.07 "	37764756.44	" 2,872,546.02 "	" 12,588,252.15 "	 No 
Plate4	Qa-1-/-	172	A	Qa-1-/-172_A	11.70	1.17	34.38	-6.02	0.000001	0.0000008	 532.14 	2331.97	 177.38 	 777.32 	 No 
Plate4	Qa-1-/-	172	B	Qa-1-/-172_B	11.70	1.17	31.58	-5.25	0.000006	0.0000048	" 3,124.92 "	13694.22	" 1,041.64 "	" 4,564.74 "	 No 
Plate4	Qa-1-/-	172	C	Qa-1-/-172_C	11.70	1.17	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate4	Qa-1-/-	173	A	Qa-1-/-173_A	16.90	1.69	31.46	-5.21	0.000006	0.0000036	" 2,346.38 "	10282.44	 782.13 	" 3,427.48 "	 No 
Plate4	Qa-1-/-	173	B	Qa-1-/-173_B	16.90	1.69	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate4	Qa-1-/-	173	C	Qa-1-/-173_C	16.90	1.69	33.32	-5.73	0.000002	0.0000011	 720.71 	3158.33	 240.24 	" 1,052.78 "	 No 
Plate4	Qa-1-/-	174	A	Qa-1-/-174_A	8.46	0.85	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate4	Qa-1-/-	174	B	Qa-1-/-174_B	8.46	0.85	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate4	Qa-1-/-	174	C	Qa-1-/-174_C	8.46	0.85	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate4	Qa-1-/-	175	A	Qa-1-/-175_A	16.70	1.67	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate4	Qa-1-/-	175	B	Qa-1-/-175_B	16.70	1.67	31.25	-5.16	0.000007	0.0000042	" 2,703.06 "	11845.51	 901.02 	" 3,948.50 "	 No 
Plate4	Qa-1-/-	175	C	Qa-1-/-175_C	16.70	1.67	30.81	-5.03	0.000009	0.0000055	" 3,584.45 "	15707.99	" 1,194.82 "	" 5,236.00 "	 No 
Plate4	Qa-1-/-	176	A	Qa-1-/-176_A	9.09	0.91	31.16	-5.13	0.000007	0.0000081	" 5,254.00 "	23024.39	" 1,751.33 "	" 7,674.80 "	 No 
Plate4	Qa-1-/-	176	B	Qa-1-/-176_B	9.09	0.91	31.18	-5.14	0.000007	0.0000081	" 5,208.08 "	22823.16	" 1,736.03 "	" 7,607.72 "	 No 
Plate4	Qa-1-/-	176	C	Qa-1-/-176_C	9.09	0.91	31.05	-5.10	0.000008	0.0000087	" 5,645.55 "	24740.27	" 1,881.85 "	" 8,246.76 "	 No 
Plate4	Qa-1-/-	177	A	Qa-1-/-177_A	9.86	0.99	18.25	-1.58	0.026508	0.0268845	" 17,384,201.95 "	76182144.94	" 5,794,733.98 "	" 25,394,048.31 "	 No 
Plate4	Qa-1-/-	177	B	Qa-1-/-177_B	9.86	0.99	18.24	-1.57	0.026730	0.0271097	" 17,529,818.28 "	76820274.01	" 5,843,272.76 "	" 25,606,758.00 "	 No 
Plate4	Qa-1-/-	177	C	Qa-1-/-177_C	9.86	0.99	18.23	-1.57	0.026955	0.0273375	" 17,677,123.59 "	77465804.58	" 5,892,374.53 "	" 25,821,934.86 "	 No 
Plate4	Qa-1-/-	178	A	Qa-1-/-178_A	11.10	1.11	20.86	-2.29	0.005075	0.0045720	" 2,956,399.41 "	12955719.73	" 985,466.47 "	" 4,318,573.24 "	 No 
Plate4	Qa-1-/-	178	B	Qa-1-/-178_B	11.10	1.11	20.85	-2.29	0.005112	0.0046050	" 2,977,704.57 "	13049084.56	" 992,568.19 "	" 4,349,694.85 "	 No 
Plate4	Qa-1-/-	178	C	Qa-1-/-178_C	11.10	1.11	20.80	-2.28	0.005279	0.0047563	" 3,075,531.75 "	13477788.99	" 1,025,177.25 "	" 4,492,596.33 "	 No 
